OSEBuildingID,Campus,NonResidential,Age_Built,AgeBuilt_classe,NumberofBuildings,NumberofFloors_classe,PropertyGFATotal_log,PropertyGFAParking_log,TotalPropertyUseTypes,PrimaryPropertyType,LargestPropertyUseTypeGFA_rel,SecondLargestPropertyUseTypeGFA_rel,ThirdLargestPropertyUseTypeGFA_rel,NaturalGas(kBtu)_bin,SteamUse(kBtu)_bin,ENERGYSTARScore,ENERGYSTARScore_imputed,SiteEnergyUse(kBtu),TotalGHGEmissions
25277,0,1,66,2,1.0,0,10.021714933900778,0.0,1,Warehouse,1.0,0.0,0.0,0,0,57.0,57.0,177812.7969,1.24
25278,0,1,66,2,1.0,0,10.59625966276599,0.0,2,Warehouse,0.7799119647859144,0.22008803521408563,0.0,1,0,75.0,75.0,1073156.375,36.82
25325,0,1,116,4,1.0,0,10.18267111473301,0.0,1,Worship Facility,1.0,0.0,0.0,1,0,91.0,91.0,719905.1875,27.93
25364,0,1,66,2,1.0,1,10.268165387743457,0.0,1,Self-Storage Facility,1.0,0.0,0.0,1,0,,65.2,1143826.625,29.44
25371,0,1,13,0,4.0,1,10.25769445336048,0.0,1,K-12 School,1.0912280701754387,0.0,0.0,1,0,92.0,92.0,1162561.125,28.64
25451,0,1,44,1,1.0,1,10.185654444299798,0.0,2,Restaurant,0.5125381801727064,0.48746181982729364,0.0,1,0,,52.19999999999999,3717064.0,97.27
25452,0,1,34,1,1.0,1,10.45276436267637,9.642317574624458,3,Mixed Use Property,0.6747596639625856,0.5675394786223621,0.44464332111204136,1,0,,68.8,15480681.0,515.71
25457,0,1,101,4,1.0,1,10.177362240256695,0.0,1,Other,1.0,0.0,0.0,1,0,,68.8,3537841.5,116.94
25461,0,1,60,2,0.0,1,10.436260560784943,0.0,1,Restaurant,1.0,0.0,0.0,1,0,,42.6,6584966.5,226.81
25462,0,1,73,2,1.0,0,10.058609189403429,0.0,1,Small- and Mid-Sized Office,0.9383429672447013,0.0,0.0,0,0,77.0,77.0,840549.375,5.86
25464,0,1,57,2,1.0,2,10.336600252573104,0.0,2,Small- and Mid-Sized Office,0.9486057068741893,0.03826199740596628,0.0,1,0,30.0,30.0,3542708.5,101.21
25471,0,1,76,3,1.0,0,9.920000460910341,0.0,1,Other,1.0,0.0,0.0,1,0,,64.4,392683.6875,10.99
25513,0,1,122,4,1.0,0,9.992001966066868,0.0,1,Worship Facility,1.0,0.0,0.0,1,0,100.0,100.0,317794.4063,13.09
25528,0,1,39,1,1.0,3,12.63641896632877,11.327378712820579,4,Large Office,0.528103733616858,0.27007676625796195,0.17903998283245057,0,0,,64.0,9512829.0,66.32
25537,0,1,104,4,1.0,1,10.250970378105945,0.0,1,Self-Storage Facility,1.0,0.0,0.0,1,0,,73.2,430308.9063,11.85
25540,0,1,108,4,1.0,2,10.725489582719506,0.0,1,Hotel,1.0,0.0,0.0,1,1,77.0,77.0,2799595.0,122.0
25541,0,1,122,4,1.0,0,10.555213600795284,0.0,2,Small- and Mid-Sized Office,0.7624035855743173,0.06277360850531583,0.0,0,0,,73.39999999999999,2058532.875,14.35
25543,0,1,122,4,1.0,2,10.664410197176586,0.0,2,Small- and Mid-Sized Office,0.5634987384356602,0.1537940379403794,0.0,1,0,,79.0,1544501.75,46.53
25548,0,1,122,4,1.0,2,10.413342705547674,0.0,4,Small- and Mid-Sized Office,0.7999699699699699,0.08468468468468468,0.07138138138138138,1,0,,82.80000000000001,1287497.375,18.76
25554,0,1,122,4,1.0,0,10.007892611890918,0.0,1,Other,1.0,0.0,0.0,1,0,,68.2,188745.7031,7.05
25563,0,1,54,2,1.0,1,10.292111643448266,0.0,2,Warehouse,0.6695030171537053,0.3101227201844193,0.0,1,0,,24.200000000000003,3768900.5,50.05
25567,0,1,84,3,1.0,0,10.045464431431677,0.0,1,Warehouse,1.0,0.0,0.0,0,0,27.0,27.0,466672.6875,3.25
25568,0,1,14,0,1.0,2,10.786242183190828,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,0,0,45.0,45.0,3168131.0,22.09
25572,0,1,92,3,1.0,0,10.737700173374677,0.0,1,Retail Store,0.9987190342821164,0.0,0.0,1,0,82.0,82.0,1582655.875,20.66
25635,0,1,52,2,1.0,1,10.068832485122966,0.0,1,Medical Office,1.0,0.0,0.0,1,0,72.0,72.0,817409.625,6.53
